golfer_id,tournament_id,round_number,score,relative_to_par
43,1,3,76,4
43,1,4,71,-1
44,1,1,72,0
44,1,2,73,1
44,1,3,71,-1
44,1,4,70,-2
45,1,1,78,6
45,1,2,75,3
45,1,3,73,1
45,1,4,77,5
46,1,1,72,0
46,1,2,74,2
46,1,3,75,3
46,1,4,76,4
47,1,1,76,4
47,1,2,77,5
47,1,3,75,3
47,1,4,72,0
48,1,1,74,2
48,1,2,73,1
48,1,3,71,-1
48,1,4,72,0
49,1,1,69,-3
49,1,2,70,-2
49,1,3,72,0
49,1,4,74,2
50,1,1,77,5
50,1,2,78,6
50,1,3,75,3
50,1,4,74,2
51,1,1,70,-2
51,1,2,71,-1
51,1,3,73,1
51,1,4,72,0
52,1,1,68,-4
52,1,2,70,-2
52,1,3,73,1
52,1,4,74,2
53,1,1,71,-1
53,1,2,75,3
53,1,3,74,2
53,1,4,72,0
54,1,1,72,0
54,1,2,74,2
54,1,3,76,4
54,1,4,71,-1
55,1,1,70,-2
55,1,2,73,1
55,1,3,72,0
55,1,4,74,2
56,1,1,74,2
56,1,2,73,1
56,1,3,75,3
56,1,4,76,4
57,1,1,69,-3
57,1,2,71,-1
57,1,3,72,0
57,1,4,70,-2
58,1,1,76,4
58,1,2,75,3
58,1,3,77,5
58,1,4,74,2
59,1,1,71,-1
59,1,2,69,-3
59,1,3,72,0
59,1,4,73,1
60,1,1,72,0
60,1,2,73,1
60,1,3,74,2
60,1,4,71,-1
61,1,1,75,3
61,1,2,74,2
61,1,3,76,4
61,1,4,77,5
62,1,1,70,-2
62,1,2,72,0
62,1,3,71,-1
62,1,4,73,1
63,1,1,72,0
63,1,2,70,-2
63,1,3,73,1
63,1,4,75,3
64,1,1,69,-3
64,1,2,71,-1
64,1,3,72,0
64,1,4,74,2
65,1,1,72,0
65,1,2,74,2
65,1,3,70,-2
65,1,4,71,-1
66,1,1,73,1
66,1,2,72,0
66,1,3,71,-1
66,1,4,70,-2
67,1,1,68,-4
67,1,2,70,-2
67,1,3,72,0
67,1,4,73,1
68,1,1,69,-3
68,1,2,71,-1
68,1,3,74,2
68,1,4,72,0
69,1,1,75,3
69,1,2,76,4
69,1,3,73,1
69,1,4,72,0
70,1,1,71,-1
70,1,2,72,0
70,1,3,73,1
70,1,4,75,3
71,1,1,76,4
71,1,2,75,3
71,1,3,77,5
71,1,4,73,1
72,1,1,68,-4
72,1,2,69,-3
72,1,3,71,-1
72,1,4,72,0
73,1,1,71,-1
73,1,2,73,1
73,1,3,74,2
73,1,4,72,0
74,1,1,72,0
74,1,2,74,2
74,1,3,75,3
74,1,4,73,1
75,1,1,70,-2
75,1,2,69,-3
75,1,3,71,-1
75,1,4,72,0
76,1,1,73,1
76,1,2,72,0
76,1,3,76,4
76,1,4,74,2
77,1,1,71,-1
77,1,2,70,-2
77,1,3,72,0
77,1,4,74,2
78,1,1,72,0
78,1,2,73,1
78,1,3,74,2
78,1,4,71,-1
79,1,1,76,4
79,1,2,75,3
79,1,3,74,2
79,1,4,73,1
80,1,1,71,-1
80,1,2,73,1
80,1,3,72,0
80,1,4,74,2
81,1,1,72,0
81,1,2,71,-1
81,1,3,75,3
81,1,4,74,2
82,1,1,70,-2
82,1,2,69,-3
82,1,3,73,1
82,1,4,74,2
83,1,1,69,-3
83,1,2,71,-1
83,1,3,72,0
83,1,4,74,2
